graph_type,sampling_method,sampling_rate,mean_original_nodes,mean_original_edges,mean_sampled_nodes,mean_sampled_edges,mean_pagerank_runtime_full_sec,mean_pagerank_runtime_sampled_sec,mean_cc_runtime_full_sec,mean_cc_runtime_sampled_sec,mean_pagerank_top10_overlap_pct,mean_edge_retention_pct,mean_density_change_pct,mean_connected_component_count_diff,mean_pagerank_runtime_saved_pct,mean_cc_runtime_saved_pct
barabasi_albert,random_edge,0.25,3000.0,11984.0,2415.0,2996.0,0.01707208333333347,0.004045472333333411,0.0008083473333332,0.0005358473333334501,83.33333333333333,25.0,-61.47724512663885,83.66666666666667,60.48411273209087,28.353405504474054
barabasi_albert,random_edge,0.5,3000.0,11984.0,2911.3333333333335,5992.0,0.01707208333333347,0.005979583333333298,0.0008083473333332,0.0006515000000000271,86.66666666666667,50.0,-46.74447329186389,3.0,44.88421612786192,12.142885625380261
barabasi_albert,random_edge,0.75,3000.0,11984.0,2995.3333333333335,8988.0,0.01707208333333347,0.007696263666666574,0.0008083473333332,0.000732680333333402,93.33333333333333,75.0,-24.69884884395076,0.0,31.40772072194105,4.940044824934557
barabasi_albert,random_node,0.25,3000.0,11984.0,750.0,813.6666666666666,0.01707208333333347,0.0018504446666667285,0.0008083473333332,0.00019818066666651055,40.0,6.8868393392290175,10.35867227854243,152.0,78.78167409083534,73.06466893353335
barabasi_albert,random_node,0.5,3000.0,11984.0,1500.0,3065.3333333333335,0.01707208333333347,0.003348458333333119,0.0008083473333332,0.0003529583333333382,50.0,26.838804426919282,7.413000215262069,48.333333333333336,67.40350846306465,51.543808459177654
barabasi_albert,random_node,0.75,3000.0,11984.0,2250.0,6839.333333333333,0.01707208333333347,0.0125037223333333,0.0008083473333332,0.0005725139999999129,70.0,56.73010264484029,0.870502590805519,2.3333333333333335,-27.56783292183808,21.09666695802255
barabasi_albert,random_walk,0.25,3000.0,11984.0,750.0,2144.3333333333335,0.01707208333333347,0.002166833000000127,0.0008083473333332,0.00019401400000014965,83.33333333333333,17.8747172603991,186.43339383366887,0.0,78.30675026457773,74.53130518625794
barabasi_albert,random_walk,0.5,3000.0,11984.0,1500.0,5146.0,0.01707208333333347,0.004323972333333555,0.0008083473333332,0.0003940416666664189,93.33333333333333,42.835168558973585,71.42819634982997,0.0,60.292080847463126,47.792379953806744
barabasi_albert,random_walk,0.75,3000.0,11984.0,2250.0,8546.666666666666,0.01707208333333347,0.01403825000000003,0.0008083473333332,0.0005518609999999313,93.33333333333333,71.27443607745967,26.73169271868454,0.0,22.15546168731662,26.45319745930819
erdos_renyi,random_edge,0.25,3000.0,12087.0,2607.3333333333335,3022.0,0.07785062466666666,0.004662305333333376,0.0010449166666667657,0.0006738476666666715,10.0,25.003476075345475,-66.98538677529719,78.0,66.81356114313304,39.80687814690037
erdos_renyi,random_edge,0.5,3000.0,12087.0,2944.6666666666665,6043.666666666667,0.07785062466666666,0.006183902666666648,0.0010449166666667657,0.0008320280000001142,40.0,50.00421407501053,-48.1213018306652,1.3333333333333333,55.075893881117565,26.130408269784372
erdos_renyi,random_edge,0.75,3000.0,12087.0,2995.3333333333335,9065.0,0.07785062466666666,0.016314083333333358,0.0010449166666667657,0.0011937636666666436,50.0,74.99652392465453,-24.789628128744596,-1.0,-35.23073032459013,-23.48822655156542
erdos_renyi,random_node,0.25,3000.0,12087.0,750.0,760.6666666666666,0.07785062466666666,0.0019017643333332594,0.0010449166666667657,0.0002097359999999974,10.0,6.258016811476076,0.2805178224928081,120.33333333333333,87.8472299078732,81.07368169013415
erdos_renyi,random_node,0.5,3000.0,12087.0,1500.0,2984.3333333333335,0.07785062466666666,0.010469111000000031,0.0010449166666667657,0.0005776943333333598,16.666666666666668,24.688289781085473,-1.1963004057813817,32.333333333333336,29.76315788370969,50.84969440685064
erdos_renyi,random_node,0.75,3000.0,12087.0,2250.0,6855.666666666667,0.07785062466666666,0.006442860666666735,0.0010449166666667657,0.0008030133333332504,36.666666666666664,56.89881908478865,1.1707646681028,4.0,53.37923571924558,27.569771692895458
erdos_renyi,random_walk,0.25,3000.0,12087.0,750.0,1390.0,0.07785062466666666,0.0021300413333333137,0.0010449166666667657,0.00019781966666676531,16.666666666666668,11.416386399865972,82.94110628605331,-1.0,87.02616718948805,82.13700042831405
erdos_renyi,random_walk,0.5,3000.0,12087.0,1500.0,4050.6666666666665,0.07785062466666666,0.012205222333333432,0.0010449166666667657,0.00047440266666668823,20.0,33.7233873232073,34.96318524272532,-1.0,68.95446174391286,57.46822814303923
