graph_type,n,seed,original_node_count,original_edge_count,original_density,sampling_method,sampling_rate,sampled_node_count,sampled_edge_count,pagerank_runtime_full_sec,pagerank_runtime_sampled_sec,connected_components_runtime_full_sec,connected_components_runtime_sampled_sec,pagerank_top10_overlap_count,pagerank_top10_overlap_pct,edge_retention_pct,density_change_pct,connected_component_count_diff,pagerank_runtime_saved_pct,cc_runtime_saved_pct,full_connected_component_count,sampled_connected_component_count
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_edge,0.25,810,996,0.0031352080000002225,0.00183158299999997,0.00022299999999964015,0.00017633400000027777,7,70.0,25.0,-61.88710341985991,33,41.58017586074544,20.92645739885098,1,34
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_edge,0.5,967,1992,0.0031352080000002225,0.0023781249999998977,0.00022299999999964015,0.0002198749999999805,8,80.0,50.0,-46.52732726560341,1,24.147775841356335,1.4013452913294586,1,2
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_edge,0.75,997,2988,0.0031352080000002225,0.0028354579999998464,0.00022299999999964015,0.00023175000000019708,10,100.0,75.0,-24.547739604355233,0,9.560769173858795,-3.9237668163995707,1,1
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_node,0.25,250,269,0.0031352080000002225,0.0011567500000002617,0.00022299999999964015,6.84170000000428e-05,2,20.0,6.752008032128515,8.357526491508207,46,63.10452129491314,69.31973094163534,1,47
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_node,0.5,500,1171,0.0031352080000002225,0.001465457999999753,0.00022299999999964015,0.00012370799999983362,7,70.0,29.3925702811245,17.68808701740833,9,53.258029451326706,44.525560538101686,1,10
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_node,0.75,750,2195,0.0031352080000002225,0.0022942919999997535,0.00022299999999964015,0.00019441699999989126,6,60.0,55.09538152610441,-2.019962359451152,1,26.82169731642715,12.817488789145749,1,2
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_walk,0.25,250,704,0.0031352080000002225,0.0010434580000002747,0.00022299999999964015,6.241700000009232e-05,8,80.0,17.670682730923694,183.58252286253452,0,66.71806144918612,72.01031390125873,1,1
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_walk,0.5,500,1701,0.0031352080000002225,0.0016535000000001965,0.00022299999999964015,0.00011266699999978869,9,90.0,42.69578313253012,70.95425791341722,0,47.26027746803149,49.476681614363,1,1
barabasi_albert,1000,1334,1000,3984,0.007975975975975975,random_walk,0.75,750,2832,0.0031352080000002225,0.0023860419999999216,0.00022299999999964015,0.00017874999999989427,8,80.0,71.08433734939759,26.414335579970107,0,23.895256710248496,19.843049327272325,1,1
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_edge,0.25,2400,2996,0.009065749999999984,0.003981792000000262,0.0006927919999997201,0.000525542000000101,10,100.0,25.0,-60.93424343476449,88,56.07873590160474,24.141445051283313,1,89
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_edge,0.5,2899,5992,0.009065749999999984,0.005859124999999743,0.0006927919999997201,0.0006408340000003676,10,100.0,50.0,-46.45472808857484,6,35.370763588233146,7.499797919054125,1,7
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_edge,0.75,2994,8988,0.009065749999999984,0.007490624999999973,0.0006927919999997201,0.0006527909999998194,9,90.0,75.0,-24.69904727597528,0,17.374458814770026,5.773883070231305,1,1
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_node,0.25,750,910,0.009065749999999984,0.0018300419999999207,0.0006927919999997201,0.00019549999999979306,6,60.0,7.593457943925233,21.616984639956073,125,79.8136723381968,71.780851972905,1,126
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_node,0.5,1500,3283,0.009065749999999984,0.003431541999999954,0.0006927919999997201,0.00035770800000012315,7,70.0,27.39485981308411,9.615990099318541,47,62.148283374238645,48.36718668802935,1,48
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_node,0.75,2250,7007,0.009065749999999984,0.025894624999999838,0.0006927919999997201,0.0006224999999999703,8,80.0,58.469626168224295,3.9575567680478207,2,-185.63135978821262,10.146191064529928,1,3
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_walk,0.25,750,2181,0.009065749999999984,0.0021034580000001135,0.0006927919999997201,0.00017912500000027975,8,80.0,18.199265687583445,191.47982802169693,0,76.79774977249409,74.14447626410927,1,1
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_walk,0.5,1500,5110,0.009065749999999984,0.004413834000000172,0.0006927919999997201,0.0004512919999997145,10,100.0,42.64018691588785,70.61763917377938,0,51.313084962632104,34.85894756291978,1,1
barabasi_albert,3000,1335,3000,11984,0.002663999110814716,random_walk,0.75,2250,8564,0.009065749999999984,0.006566375000000235,0.0006927919999997201,0.000545958000000013,10,100.0,71.46194926568758,27.057587578358998,0,27.569423379199215,21.19452880514878,1,1
barabasi_albert,5000,1336,5000,19984,0.0015990398079615924,random_edge,0.25,4035,4996,0.0390152920000002,0.006323042000000001,0.0015092500000002396,0.0009056659999999717,8,80.0,25.0,-61.61038852529214,130,83.79342643392245,39.992314063287864,1,131
barabasi_albert,5000,1336,5000,19984,0.0015990398079615924,random_edge,0.5,4868,9992,0.0390152920000002,0.009701500000000252,0.0015092500000002396,0.001093790999999733,8,80.0,50.0,-47.2513645214134,2,75.13410895399629,27.5275136657572,1,3
barabasi_albert,5000,1336,5000,19984,0.0015990398079615924,random_edge,0.75,4995,14988,0.0390152920000002,0.0127627079999999,0.0015092500000002396,0.0013135000000001895,9,90.0,75.0,-24.849759651521765,0,67.28793417719433,12.970018220971937,1,1
barabasi_albert,5000,1336,5000,19984,0.0015990398079615924,random_node,0.25,1250,1262,0.0390152920000002,0.002564542000000003,0.0015092500000002396,0.00033062499999969575,4,40.0,6.315052041633306,1.10150570416301,285,93.42682863939609,78.09342388605974,1,286
barabasi_albert,5000,1336,5000,19984,0.0015990398079615924,random_node,0.5,2500,4742,0.0390152920000002,0.00514837499999965,0.0015092500000002396,0.0005774590000000579,1,10.0,23.72898318654924,-5.065076470940663,89,86.80421256362858,61.738678151401935,1,90
barabasi_albert,5000,1336,5000,19984,0.0015990398079615924,random_node,0.75,3750,11316,0.0390152920000002,0.00932225000000031,0.0015092500000002396,0.0009006249999998772,7,70.0,56.62530024019215,0.6739133638198881,4,76.10616370627122,40.326321020391966,1,5
barabasi_albert,5000,1336,5000,19984,0.0015990398079615924,random_walk,0.25,1250,3548,0.0390152920000002,0.0033535829999999933,0.0015092500000002396,0.00034050000000007685,9,90.0,17.754203362690152,184.2378306167752,0,91.404439572053,77.4391253934058,1,1
barabasi_albert,5000,1336,5000,19984,0.0015990398079615924,random_walk,0.5,2500,8627,0.0390152920000002,0.006904583000000297,0.0015092500000002396,0.0006181659999997535,9,90.0,43.1695356285028,72.7126919622933,0,82.30288011172577,59.04151068413746,1,1
